wdid,mass,age
* alf CMa B,0.94,0.11
* alf CMi B,0.5541,1.22
* omi02 Eri B,0.568,0.12
1FGL J1338.9+1153,,
1H 0201-029,,
1H 0307-426,,
1RXS J000359.1+433600,1.23,
1RXS J023947.9+500349,1.05,
1RXS J041051.2+592522,0.62,
1RXS J055047.4-240853,0.71,
1RXS J062052.2+132436,0.65,
1RXS J063340.1+200149,1.21,
1RXS J072817.0+273129,0.69,
1RXS J091657.6-194613,1.3,
1RXS J093922.8+264404,0.62,0.0015
1RXS J101340.6+061556,0.437,
1RXS J120428.0+581934,0.779,0.2174
1RXS J132634.4+571052,0.41,0.0001
1RXS J143738.0+362237,0.6,0.0035
1RXS J163421.8+365859,0.806,0.8971
1RXS J174614.9-703902,1.1,
1RXS J203455.3-273457,0.6,0.001437
1RXS J232431.0-544148,0.6,
2MASS J00022257+6357443,0.542,6.55
2MASS J00025063-0450417,,
2MASS J00035692-0503328,0.66,
2MASS J00044434+2646181,,
2MASS J00050491+2434098,,
2MASS J00053105-0543432,,
2MASS J00055986-0544160,0.61,
2MASS J00065190+2846469,0.59,
2MASS J00093550+2432513,,
2MASS J00124720+0010483,1.23,
2MASS J00173691+1451019,,
2MASS J00174924-0009554,0.55,0.0013
2MASS J00185379+0050215,0.44,
2MASS J00202103-0012271,,
2MASS J00215789-1103318,0.64,
2MASS J00225164-0027208,,
2MASS J00262040+1444094,0.53,0.0912
2MASS J00272505-0044236,,
2MASS J00274169-0300586,0.777,2.017
2MASS J00274999-0010234,,
2MASS J00280166+0021370,0.65,
2MASS J00291036+1413105,,
2MASS J00292126-0020326,0.75,
2MASS J00333648+0041515,,
2MASS J00341320+0004315,,
2MASS J00341617-0008495,,
2MASS J00354732-0049382,,
2MASS J00360262+0700471,0.61,0.0068
2MASS J00364522+0634531,,
2MASS J00373107+0109465,,
2MASS J00392523+2548236,0.57,0.005
2MASS J00402005+1541561,0.7,
2MASS J00423250+4154031,0.066,
2MASS J00431925+1602198,0.54,
2MASS J00500820-0003588,,
2MASS J00531206-0032082,,
2MASS J00541856+0057459,0.43,0.0372
2MASS J00551992+0040393,,
2MASS J01002153+0005229,,
2MASS J01021606-1015043,0.605,
2MASS J01041212-5742485,0.356,
2MASS J01073468+0111572,0.86,
2MASS J01100908+1326166,0.41,0.0155
2MASS J01112388+0009351,0.365,0.9333
